PhoneNumber,Email,CreditScore,AgeGroup,FamilyBackground,Income,LeadSource,TimeOnPage,PagesVisited,High_Intent
+918284392083,vardaniya85@example.net,451,26-35,Single,340932,Referral,177,5,0
+910804162785,bdhar@example.net,652,36-50,Married with Kids,610114,Social Media,256,7,1
+912159487498,bhamini49@example.net,444,26-35,Married,335583,Social Media,264,2,0
3722474221,ahana-agate@example.org,576,36-50,Married,523517,Paid Ads,209,12,0
+916608518493,varugheseeva@example.net,500,26-35,Married with Kids,326348,Paid Ads,249,9,0
05053995515,rania65@example.com,472,26-35,Married,333243,Social Media,65,8,0
4913494745,samairasaraf@example.net,496,26-35,Single,289842,Organic Search,242,8,0
0966265324,priyansh74@example.org,347,18-25,Married with Kids,62593,Referral,12,6,0
0704468995,nitara09@example.net,347,18-25,Married,160487,Social Media,213,13,0
05312953194,shlokbanerjee@example.net,455,26-35,Married,296730,Organic Search,132,8,0
6549859382,mishti30@example.org,502,26-35,Married,379694,Referral,299,10,0
+915959258135,comarlavanya@example.org,388,18-25,Married with Kids,88502,Referral,115,9,0
08884145148,gmandal@example.com,478,51+,Single,431681,Direct,82,12,0
+918436013335,mannat97@example.com,529,36-50,Married with Kids,593967,Organic Search,21,8,1
+918904920620,abuch@example.com,407,26-35,Married,264982,Direct,136,12,0
8319834701,rastogiaarna@example.net,417,26-35,Married with Kids,291970,Paid Ads,184,7,0
07738870584,dasguptareyansh@example.net,403,26-35,Single,193984,Direct,226,6,0
03185040998,gwali@example.org,596,51+,Married with Kids,392616,Paid Ads,264,11,0
+915287667146,mandertaimur@example.org,519,26-35,Married with Kids,280727,Organic Search,223,10,0
0000793989,faiyaz27@example.org,644,36-50,Married,617317,Social Media,191,7,0
+914276391686,sahildesai@example.com,387,18-25,Married with Kids,22217,Referral,61,7,0
+916316869339,ghoshprisha@example.com,561,26-35,Married,339088,Direct,80,3,0
3953551637,balasubramanianazad@example.org,557,36-50,Married,582393,Social Media,27,11,0
8431923874,doctoraradhya@example.com,476,36-50,Single,423495,Referral,242,3,0
5931665915,sumer16@example.com,464,26-35,Single,215425,Direct,38,9,0
+912964528940,raniabuch@example.net,557,36-50,Single,509627,Paid Ads,130,6,0
+913394089908,kapurkavya@example.com,402,26-35,Married,275591,Referral,238,5,0
01678875132,samarthkale@example.com,470,26-35,Single,172018,Organic Search,166,10,0
5213731415,okala@example.net,516,36-50,Married,589005,Organic Search,246,4,0
+919790916008,khatrianvi@example.net,308,18-25,Married,78143,Social Media,44,8,0
